time,SensorA,SensorB,SensorC
00:00,1.4162504050863611,4.21993004444613,3.139646401985112
00:01,3.5344389506597422,,3.064088089330025
00:02,5.659732681879005,,2.9255645161290325
00:03,5.6401668342179,3.0736502423424223,5.3812096774193545
00:04,4.4544740940809575,1.5540443311387193,1.055964541142325
00:05,5.879827727033006,0.10305438241903184,4.801929280397022
00:06,,0.9411817206467985,5.192313895781638
00:07,6.202981443115151,0.025297000326643726,4.701184863523573
00:08,3.850993808189461,1.6674443082172399,5.65825682382134
00:09,3.959236056829296,2.4634502151536086,6.036048387096773
00:10,7.351952739333275,3.130175632085157,4.978232009925558
00:11,4.776911568894086,4.022232918142567,3.8448573200992557
00:12,3.338158755836045,,3.8763399503722087
00:13,6.165423715990782,4.751587342275891,2.963343672456576
00:14,,3.3774536635012753,3.385210918114144
00:15,4.295834632920721,2.8024101399169385,2.887785359801489
00:16,7.290076664743425,0.38845655850001615,3.001122828784119
00:17,8.34405604386854,0.9804881591770842,4.103014888337469
00:18,5.263691037612714,0.5623693149364786,4.518585607940447
00:19,9.41005055095138,,
00:20,7.840945222445121,0.6433902385871599,5.6708498759305215
00:21,5.9217140970235205,2.013113302695438,
00:22,5.059527479955687,,5.3182444168734495
00:23,7.135995250095212,4.430167125304799,5.393802729528536
00:24,7.329220170578812,4.6374088190646825,4.846004962779157
00:25,7.074834410331654,4.236349934121134,4.808225806451613
00:26,11.481796877795329,3.592514079182224,4.317096774193549
00:27,8.477095995502928,,3.4796588089330025
00:28,8.798409285189788,1.086282459508992,3.1459429280397027
00:29,10.0808189727376,1.1511169010065956,2.9192679900744416
00:30,6.382127158029334,-0.14735394437178595,3.051495037220844
00:31,7.108258746783541,0.3937847848796294,3.032605459057072
00:32,9.142593534351576,1.2719011476899595,3.4859553349875934
00:33,9.976638792950798,2.4685485147933486,4.751557071960298
00:34,6.949258923028465,4.0929165156931955,3.825967741935484
00:35,11.057981712981253,4.80558904561606,5.217499999999999
00:36,7.8162396678726385,4.271266490938919,5.777890818858561
00:37,6.757071776358056,3.8489041807541655,6.741259305210917
00:38,,3.3706340269762665,5.570105459057072
00:39,9.097399879388611,2.4609737162557996,5.356023573200993
00:40,,1.6241457762005034,4.493399503722085
00:41,7.138586864510911,0.413102026252973,5.4378784119106705
00:42,7.044427026796379,-0.5044530099081377,4.140794044665013
00:43,11.729400889673949,0.1282272983220878,4.1533870967741935
00:44,7.220014044706275,,2.944454094292804
00:45,7.982132237116291,2.196605034251796,4.033753101736973
00:46,10.318001072956458,,4.436730769230769
00:47,8.943212057560228,,4.0967183622828784
